old_CID,STITCH_CID,CID,pub_chem_CID
CID100000085,CID000010917,10917,100000085
CID100000119,CID000000119,119,100000119
CID100000137,CID000000137,137,100000137
CID100000143,CID000000143,143,100000143
CID100000143,CID000006006,6006,100000143
CID100000143,CID000149436,149436,100000143
CID100000146,CID000444412,444412,100000146
CID100000158,CID005280360,5280360,100000158
CID100000159,CID005282411,5282411,100000159
CID100000160,CID005280363,5280363,100000160
CID100000175,CID000000175,175,100000175
CID100000187,CID000000187,187,100000187
CID100000191,CID000060961,60961,100000191
CID100000206,CID000000206,206,100000206
CID100000206,CID000066370,66370,100000206
CID100000214,CID005280723,5280723,100000214
CID100000214,CID006433212,6433212,100000214
CID100000222,CID000000222,222,100000222
CID100000232,CID000006322,6322,100000232
CID100000244,CID000000244,244,100000244
CID100000247,CID000000247,247,100000247
CID100000271,CID000000271,271,100000271
CID100000297,CID000000297,297,100000297
CID100000298,CID000005959,5959,100000298
CID100000303,CID000221493,221493,100000303
CID100000305,CID000449688,449688,100000305
CID100000311,CID000000311,311,100000311
CID100000312,CID000000312,312,100000312
CID100000338,CID000000338,338,100000338
CID100000401,CID000006234,6234,100000401
CID100000444,CID000000444,444,100000444
CID100000450,CID000005757,5757,100000450
CID100000453,CID000005780,5780,100000453
CID100000453,CID000006251,6251,100000453
CID100000564,CID000000564,564,100000564
CID100000581,CID000012035,12035,100000581
CID100000596,CID000006252,6252,100000596
CID100000598,CID000000598,598,100000598
CID100000612,CID000000612,612,100000612
CID100000679,CID000000679,679,100000679
CID100000681,CID000000681,681,100000681
CID100000698,CID000005870,5870,100000698
CID100000699,CID003001028,3001028,100000699
CID100000700,CID000000700,700,100000700
CID100000727,CID000000727,727,100000727
CID100000738,CID000005961,5961,100000738
CID100000750,CID000000750,750,100000750
CID100000753,CID000000753,753,100000753
CID100000767,CID000000767,767,100000767
CID100000772,CID000000772,772,100000772
CID100000774,CID000000774,774,100000774
CID100000785,CID000000785,785,100000785
CID100000813,CID000000813,813,100000813
CID100000815,CID000006032,6032,100000815
CID100000838,CID000005815,5815,100000838
CID100000853,CID000005819,5819,100000853
CID100000861,CID000005920,5920,100000861
CID100000888,CID000000888,888,100000888
CID100000896,CID000000896,896,100000896
CID100000923,CID000000923,923,100000923
CID100000937,CID000000937,937,100000937
CID100000942,CID000000942,942,100000942
CID100000942,CID000089594,89594,100000942
CID100000946,CID000000946,946,100000946
CID100000948,CID000000948,948,100000948
CID100000951,CID000439260,439260,100000951
CID100000961,CID000000961,961,100000961
CID100001003,CID000001003,1003,100001003
CID100001046,CID000001046,1046,100001046
CID100001054,CID000001054,1054,100001054
CID100001065,CID000005768,5768,100001065
CID100001065,CID000008549,8549,100001065
CID100001065,CID000091429,91429,100001065
CID100001071,CID000445354,445354,100001071
CID100001084,CID000001084,1084,100001084
CID100001125,CID000001125,1125,100001125
CID100001125,CID000044257,44257,100001125
CID100001130,CID000001130,1130,100001130
CID100001134,CID000159269,159269,100001134
CID100001206,CID000010836,10836,100001206
CID100001301,CID000156391,156391,100001301
CID100001546,CID000020279,20279,100001546
CID100001690,CID000031703,31703,100001690
CID100001690,CID000032874,32874,100001690
CID100001690,CID000041867,41867,100001690
CID100001727,CID000001727,1727,100001727
CID100001775,CID000001775,1775,100001775
CID100001798,CID000004100,4100,100001798
CID100001805,CID000009444,9444,100001805
CID100001875,CID000016923,16923,100001875
CID100001971,CID000065139,65139,100001971
CID100001971,CID000441300,441300,100001971
CID100001972,CID005280965,5280965,100001972
CID100001972,CID005386092,5386092,100001972
CID100001978,CID000001978,1978,100001978
CID100001983,CID000001983,1983,100001983
CID100001986,CID000001986,1986,100001986
CID100001990,CID000001990,1990,100001990
CID100001993,CID000001993,1993,100001993
CID100002019,CID000002019,2019,100002019
CID100002021,CID000015541,15541,100002021
CID100002022,CID000002022,2022,100002022
CID100002082,CID000002082,2082,100002082
CID100002083,CID000002083,2083,100002083
CID100002083,CID000123600,123600,100002083
CID100002085,CID000636374,636374,100002085
CID100002088,CID000002088,2088,100002088
CID100002092,CID000002092,2092,100002092
CID100002094,CID000002094,2094,100002094
CID100002099,CID000002099,2099,100002099
CID100002118,CID000002118,2118,100002118
CID100002123,CID000002123,2123,100002123
CID100002130,CID000002130,2130,100002130
CID100002133,CID000443958,443958,100002133
CID100002140,CID000002140,2140,100002140
CID100002141,CID000002141,2141,100002141
CID100002142,CID000037768,37768,100002142
CID100002145,CID000002145,2145,100002145
CID100002148,CID000002148,2148,100002148
CID100002153,CID000002153,2153,100002153
CID100002156,CID000002156,2156,100002156
CID100002159,CID000002159,2159,100002159
CID100002160,CID000002160,2160,100002160
CID100002161,CID000002161,2161,100002161
CID100002162,CID000002162,2162,100002162
CID100002163,CID000002163,2163,100002163
CID100002168,CID000054259,54259,100002168
CID100002170,CID000002170,2170,100002170
CID100002171,CID000033613,33613,100002171
CID100002173,CID000006249,6249,100002173
CID100002177,CID000065016,65016,100002177
CID100002179,CID000002179,2179,100002179
CID100002182,CID000002182,2182,100002182
CID100002187,CID000002187,2187,100002187
CID100002215,CID000006005,6005,100002215
CID100002216,CID000002216,2216,100002216
CID100002232,CID000092721,92721,100002232
CID100002244,CID000002244,2244,100002244
CID100002249,CID000002249,2249,100002249
CID100002250,CID000060822,60822,100002250
CID100002265,CID000002265,2265,100002265
CID100002266,CID000002266,2266,100002266
CID100002267,CID000002267,2267,100002267
CID100002269,CID000447043,447043,100002269
CID100002274,CID005742832,5742832,100002274
CID100002284,CID000002284,2284,100002284
CID100002307,CID000021700,21700,100002307
CID100002308,CID000020469,20469,100002308
CID100002311,CID005362123,5362123,100002311
CID100002315,CID000002315,2315,100002315
CID100002337,CID000002337,2337,100002337
CID100002341,CID000002341,2341,100002341
CID100002344,CID000006832,6832,100002344
CID100002345,CID000002345,2345,100002345
CID100002349,CID000002349,2349,100002349
CID100002349,CID000005904,5904,100002349
CID100002350,CID000164522,164522,100002350
CID100002351,CID000002351,2351,100002351
CID100002366,CID000002366,2366,100002366
CID100002367,CID000009400,9400,100002367
CID100002369,CID000002369,2369,100002369
CID100002369,CID000060656,60656,100002369
CID100002370,CID000002370,2370,100002370
CID100002375,CID000002375,2375,100002375
CID100002391,CID000002391,2391,100002391
CID100002405,CID000002405,2405,100002405
CID100002431,CID000002431,2431,100002431
CID100002435,CID000002435,2435,100002435
CID100002441,CID000002441,2441,100002441
CID100002442,CID000002442,2442,100002442
CID100002443,CID000031100,31100,100002443
CID100002462,CID000002462,2462,100002462
CID100002462,CID005281004,5281004,100002462
CID100002471,CID000002471,2471,100002471
CID100002474,CID000002474,2474,100002474
CID100002474,CID000092253,92253,100002474
CID100002476,CID006321408,6321408,100002476
CID100002477,CID000002477,2477,100002477
CID100002478,CID000002478,2478,100002478
CID100002479,CID000002479,2479,100002479
CID100002484,CID000002484,2484,100002484
CID100002487,CID005361092,5361092,100002487
CID100002512,CID000054746,54746,100002512
CID100002519,CID000002519,2519,100002519
CID100002520,CID000002520,2520,100002520
CID100002522,CID005288783,5288783,100002522
CID100002522,CID006436131,6436131,100002522
CID100002524,CID005280453,5280453,100002524
CID100002540,CID000002540,2540,100002540
CID100002541,CID000002541,2541,100002541
CID100002547,CID003032400,3032400,100002547
CID100002548,CID001548943,1548943,100002548
CID100002550,CID000044093,44093,100002550
CID100002551,CID000002551,2551,100002551
CID100002554,CID000002554,2554,100002554
CID100002559,CID000020824,20824,100002559
CID100002563,CID000034359,34359,100002563
CID100002564,CID000002564,2564,100002564
CID100002576,CID000002576,2576,100002576
CID100002578,CID000002578,2578,100002578
CID100002583,CID000002583,2583,100002583
CID100002585,CID000002585,2585,100002585
CID100002609,CID000051038,51038,100002609
CID100002610,CID000002610,2610,100002610
CID100002610,CID000047964,47964,100002610
CID100002617,CID000002617,2617,100002617
CID100002617,CID000033255,33255,100002617
CID100002622,CID005479537,5479537,100002622
CID100002631,CID005742673,5742673,100002631
CID100002631,CID006540461,6540461,100002631
CID100002637,CID000441199,441199,100002637
CID100002646,CID005281006,5281006,100002646
CID100002650,CID005362051,5362051,100002650
CID100002650,CID005481173,5481173,100002650
CID100002654,CID005282241,5282241,100002654
CID100002655,CID006533629,6533629,100002655
CID100002656,CID005479530,5479530,100002656
CID100002658,CID005479529,5479529,100002658
CID100002662,CID000002662,2662,100002662
CID100002663,CID000002663,2663,100002663
CID100002666,CID000027447,27447,100002666
CID100002675,CID005362065,5362065,100002675
CID100002675,CID006321411,6321411,100002675
CID100002676,CID000446156,446156,100002676
CID100002678,CID000002678,2678,100002678
CID100002678,CID001548999,1548999,100002678
CID100002684,CID000083898,83898,100002684
CID100002708,CID000002708,2708,100002708
CID100002712,CID000002712,2712,100002712
CID100002713,CID009552079,9552079,100002713
CID100002719,CID000002719,2719,100002719
CID100002720,CID000002720,2720,100002720
CID100002725,CID000002725,2725,100002725
CID100002725,CID000033036,33036,100002725
CID100002726,CID000002726,2726,100002726
CID100002727,CID000002727,2727,100002727
CID100002732,CID000002732,2732,100002732
CID100002733,CID000002733,2733,100002733
CID100002749,CID000002749,2749,100002749
CID100002751,CID000056329,56329,100002751
CID100002754,CID000002754,2754,100002754
CID100002756,CID000002756,2756,100002756
CID100002762,CID000002762,2762,100002762
CID100002764,CID000002764,2764,100002764
CID100002767,CID000002767,2767,100002767
CID100002771,CID000002771,2771,100002771
CID100002771,CID000146570,146570,100002771
CID100002781,CID000026986,26986,100002781
CID100002786,CID000029029,29029,100002786
CID100002789,CID000002789,2789,100002789
CID100002791,CID000032798,32798,100002791
CID100002792,CID000071386,71386,100002792
CID100002794,CID000002794,2794,100002794
CID100002800,CID001548952,1548952,100002800
CID100002800,CID001548954,1548954,100002800
CID100002801,CID000002801,2801,100002801
CID100002802,CID000002802,2802,100002802
CID100002803,CID000002803,2803,100002803
CID100002806,CID000060606,60606,100002806
CID100002809,CID000002809,2809,100002809
CID100002812,CID000002812,2812,100002812
CID100002818,CID000002818,2818,100002818
CID100002826,CID000446220,446220,100002826
CID100002828,CID005284371,5284371,100002828
CID100002833,CID000006167,6167,100002833
CID100002881,CID000002881,2881,100002881
CID100002883,CID000688020,688020,100002883
CID100002891,CID005311498,5311498,100002891
CID100002895,CID000002895,2895,100002895
CID100002905,CID000002905,2905,100002905
CID100002907,CID000002907,2907,100002907
CID100002909,CID005280754,5280754,100002909
CID100002913,CID000002913,2913,100002913
CID100002914,CID000009880,9880,100002914
CID100002949,CID000028417,28417,100002949
CID100002951,CID006604100,6604100,100002951
CID100002955,CID000002955,2955,100002955
CID100002958,CID000030323,30323,100002958
CID100002972,CID000002972,2972,100002972
CID100002973,CID000002973,2973,100002973
CID100002978,CID000016078,16078,100002978
CID100002995,CID000002995,2995,100002995
CID100003000,CID000009793,9793,100003000
CID100003000,CID005311067,5311067,100003000
CID100003003,CID000005743,5743,100003003
CID100003003,CID000009782,9782,100003003
CID100003007,CID000003007,3007,100003007
CID100003007,CID000005825,5825,100003007
CID100003008,CID005360696,5360696,100003008
CID100003009,CID000003009,3009,100003009
CID100003015,CID005284537,5284537,100003015
CID100003016,CID000003016,3016,100003016
CID100003019,CID000003019,3019,100003019
CID100003032,CID000003032,3032,100003032
CID100003038,CID000003038,3038,100003038
CID100003040,CID000018381,18381,100003040
CID100003042,CID000003042,3042,100003042
CID100003043,CID000003043,3043,100003043
CID100003043,CID000050599,50599,100003043
CID100003053,CID000003053,3053,100003053
CID100003056,CID000071414,71414,100003056
CID100003059,CID000003059,3059,100003059
CID100003060,CID000443936,443936,100003060
CID100003062,CID002724385,2724385,100003062
CID100003063,CID005284543,5284543,100003063
CID100003066,CID000010531,10531,100003066
CID100003075,CID000039186,39186,100003075
CID100003080,CID000003080,3080,100003080
CID100003100,CID000003100,3100,100003100
CID100003105,CID000003105,3105,100003105
CID100003108,CID000003108,3108,100003108
CID100003114,CID000003114,3114,100003114
CID100003117,CID000003117,3117,100003117
CID100003121,CID000003121,3121,100003121
CID100003125,CID000441350,441350,100003125
CID100003143,CID000064780,64780,100003143
CID100003143,CID000148123,148123,100003143
CID100003148,CID014476155,14476155,100003148
CID100003151,CID000003151,3151,100003151
CID100003152,CID000003152,3152,100003152
CID100003154,CID000003154,3154,100003154
CID100003154,CID005284549,5284549,100003154
CID100003155,CID005282425,5282425,100003155
CID100003156,CID000003156,3156,100003156
CID100003157,CID000003157,3157,100003157
CID100003158,CID000003158,3158,100003158
CID100003158,CID000667477,667477,100003158
CID100003168,CID000003168,3168,100003168
CID100003171,CID000092974,92974,100003171
CID100003182,CID000003182,3182,100003182
CID100003198,CID000003198,3198,100003198
CID100003199,CID000108150,108150,100003199
CID100003202,CID000003202,3202,100003202
CID100003203,CID000064139,64139,100003203
CID100003209,CID000446284,446284,100003209
CID100003219,CID000003219,3219,100003219
CID100003222,CID005388961,5388961,100003222
CID100003226,CID000003226,3226,100003226
CID100003241,CID000003241,3241,100003241
CID100003249,CID005280793,5280793,100003249
CID100003250,CID000443884,443884,100003250
CID100003251,CID000008223,8223,100003251
CID100003255,CID000008233,8233,100003255
CID100003255,CID000012560,12560,100003255
CID100003256,CID000443953,443953,100003256
CID100003261,CID000003261,3261,100003261
CID100003263,CID000009403,9403,100003263
