CID,SMILES
100000085,CCOC(=O)[C@@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)N
100000119,C1[C@H]([C@@]1(CN)CO)S(=O)(=O)C2=CC=C(C=C2)Cl
100000137,C1[C@H]([C@]1(CN)C(=O)O)S(=O)(=O)C2=CC=C(C=C2)Cl
100000143,COC1=C(C(=C(C=C1)[C@@H]2CC(=O)OC3=CC(=C(C(=C23)OC)OC)OC)OC)OC
100000146,C[C@](CNS(=O)(=O)CCC(F)(F)F)(C1=CC2=CC=CC=C2O1)O
100000158,CC(C)(C)OC(=O)N[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)CN
100000159,CC(C)C1=CC(=NO1)[C@H]2CCCN2C(=O)CN(C)CC3=CN=CC=C3
100000160,C[C@@](CNS(=O)(=O)C1=CC=CC2=NSN=C21)(C3=CC4=CC=CC=C4O3)O
100000175,COC[C@]1(C[C@@H]1S(=O)(=O)C2=CC=C(C=C2)Cl)CN
100000187,C[C@@](CNS(=O)(=O)C1=CC(=C(C=C1)OC)C(=O)N)(C2=CC3=CC=CC=C3O2)O
100000191,C[C@](CNS(=O)(=O)C1=CC(=C(C=C1)OC)C(=O)N)(C2=CC3=CC=CC=C3O2)O
100000206,CC[C@H](C1=C(C=C(C=C1)C)C)NC(=O)C2=CC=C(C=C2)CSC3=CC=CC=C3
100000214,CC1=CC2=C([C@@H](CC(=O)O2)C3=CC4=C(C(=C3)OC)OCCO4)C(=O)N1CCC5=CC=C(C=C5)O
100000222,C[C@](CNC(=O)C(=O)NC1CCCC1)(C2=CC3=CC=CC=C3O2)O
100000232,C[C@](CNC(=O)C(=O)NC1=CC=CC=C1)(C2=CC3=CC=CC=C3O2)O
100000244,C1[C@@H]([C@]1(CO)C(=O)O)S(=O)(=O)C2=CC=C(C=C2)Cl
100000247,CC1=CC(=O)OC2=C3[C@@H](CC(=O)OC3=C(C(=C12)O)C(=O)C)C4=CC5=C(C=C4[N+](=O)[O-])OCO5
100000271,C1[C@H]([C@]1(CO)N)S(=O)(=O)C2=CC=C(C=C2)Cl
100000297,C[C@](CNC(=O)C(=O)NC1=CC=CC(=C1)C(F)(F)F)(C2=CC3=CC=CC=C3O2)O
100000298,CN(CC1=NC(=NO1)C2=CC=CS2)C(=O)C3=CC=C(C=C3)CSC4=CC=CC=C4
100000303,CCN(CC1=NC(=NO1)C2=CC=CS2)C(=O)C3=CC=C(C=C3)CSC4=CC=CC=C4
